Agr_Type,Noun_Type,Noun,Cond,Gen,Eng
article,consonant,couvirache,A,,
article,consonant,spadique,A,,
article,consonant,lénousale,A,,
article,consonant,rachire,A,,
article,consonant,montagne,A_exist_F,F,mountain
article,consonant,parapluie,A_exist_M,M,umbrella
article,consonant,tamunine,A_new_F,F,
article,consonant,golcheau,A_new_M,M,
article,consonant,bicatique,B,,
article,consonant,liavrole,B,,
article,consonant,fradique,B,,
article,consonant,chonlige,B,,
article,consonant,fleur,B_exist_F,F,flower
article,consonant,chien,B_exist_M,M,dog
article,consonant,viramette,B_new_F,F,
article,consonant,forzin,B_new_M,M,
adjective,vowel,l'ounale,C,,
adjective,vowel,l'irguiste,C,,
adjective,vowel,l'ulole,C,,
adjective,vowel,l'ouchiste,C,,
adjective,vowel,l'étoile,C_exist_F,F,star
adjective,vowel,l'oiseau,C_exist_M,M,bird
adjective,vowel,l'audrelle,C_new_F,F,
adjective,vowel,l'ousatier,C_new_M,M,
participle,vowel,l'aratole,D,,
participle,vowel,l'aplichale,D,,
participle,vowel,l'ougole,D,,
participle,vowel,l'anochiste,D,,
participle,vowel,l'abeille,D_exist_F,F,bee
participle,vowel,l'ordinateur,D_exist_M,M,computer
participle,vowel,l'oivotte,D_new_F,F,
participle,vowel,l'avouguin,D_new_M,M,
